UnitCode,UnitName,Faculty,Sypnosis,Preqs,Proh
CDS2002,Communication Design Studio 2B,ada," Communication Design Studio 2B will expose students to a broad range of creative communication processes from print to digital media, and will be able to identify the appropriate context(s) to which they would be applied independently and in conjunction with each other.Students will explore a range of media elements including typography, image, layout, three-dimensional form, interaction design, spatial environments and visualisation as core components to their communication design solutions. Projects across both print and digital media platforms will develop skills in information design, way-finding, interactivity, user experience (experiential design), typography, image construction and manipulation, production methods, collaborative activity, and the planning and management of design outcomes.Students will be encouraged to approach all projects with an open attitude to experimentation and critical enquiry. Studies in this unit will help students develop an understanding of the vital space communication designers occupy in developing and contributing to the language of contemporary visual culture, alongside the social responsibilities inherently associated with this.","CDS1001, CDS1002, OHS1000 or IDN1001, IDN1002, OHS1000","VCO2003, VCO2004, VCO2409, MMD2303, MMD2304, MMD2306"
CDS2511,Branding for designers,ada," A Brand is more than a logo. It's the narrative story of a product or service that makes people feel a certain way towards it. It is a persuasive and highly potent communication vehicle in which communication designers play a pivotal role.This unit intends to develop students' comprehension of the value of branding and the development of brand awareness. Through a process of practical studio exercises and tutorials they will explore the development of a brand from the creation of a name, to the development of a logo or identity, to the building of an emotional cache attached to that mark and its applications. Key branding strategies will be explored, including target market identification, product positioning, and competitor analysis. Students will be encouraged to explore creative brand strategies that engage both established and emerging media. They will comprehend specific language and key terminology associated with the branding process. They will be exposed to leading exponents of branding that are both historic and contemporary and will be able to identify key strategies utilised in the creation of their success.","CDS1001 and CDS1002, OHS1000",
CDS2512,Packaging design,ada," Packaging Design is a unit specifically for those who wish to explore the application of communication design processes within the realm of 3-dimensional packaging design.Packaging continues to be a prominent component of our visual landscape and this unit will require its students to critically assess its environmental impact, materiality and purpose through well-considered and appropriate design solutions. Different sector needs will be explored. For example, the specific and heavily legislated needs for medication packaging may be analysed alongside the needs of a simple grocery item.Students will be required to rationalise the environmental impact of each of their project solutions, in terms of materiality, reusability and recyclability. They will also comprehend the value of packaging as both a necessity for some items (sterile medical products, for example), and a persuasive and portable brand vehicle for others (foodstuffs like tea and coffee, for example).Consumer needs including usability and ergonomics will also be an important consideration for students in this unit. Both form and surface graphics will be explored in detail. In addition students will be required to comprehend and apply the legal and production requirements of their packaging design outcomes.","CDS1001, CDS1002, OHS1000",
CDS2521,Creative coding,ada," Code is the building block of all digital software and content. Once the domain of computer programmers, code is now being used by artists, designers and architects to translate their ideas into new forms of creative expression and communication.This unit will enable students to apply the basic concepts and principles of coding, from concept to implementation, to create these unique forms of expression.Through a process of practical studio exercises and workshops students will explore how code and software development can enable innovative ways of translating concepts into unique visual and auditory form.  Students will be exposed to key terminology and processes of coding and encouraged to explore these processes to create dynamic and unique interactive digital content. An in-depth study of both the historical and contemporary leaders in art, design and architecture who use these processes to generate important cultural artefacts will contextualise the significance of creative coding in these fields.","Completion of 48 credit points in any degree offered by the Faculty of Art Design & Architecture or with permission from Unit Coordinator, OHS1000",
CDS2522,Creative expression through physical computing,ada," This unit introduces students to physical computing as a creative endeavour. Simple computers called microprocessors can sense all elements of the physical world including light, sound, heat, vision and motion. The data collected from these microprocessors can be reinterpreted and creatively expressed in software as images, animation, simulation, visualisation, video, sculpture and sound. Artists, designers and architects use this data to create new forms of expression and communication.Through a process of practical workshops students will create innovative ways to interact with and control microprocessors and the data they collect. This unit will enable students to apply the concepts and principles of designing and controlling electronic components, from concept to implementation, to express unique and engaging forms of visual, sculptural and auditory communication.In-depth studies of contemporary leaders in art, design and architecture who use creative digital technologies will contextualise the significance of physical computing in these fields.","CDS2521 or with permission from Unit Coordinator, OHS1000",
CDS2523,Creative visualisation,ada," This unit will enable students to apply advanced principles of coding, from concept to implementation, to create unique forms of data visualisations.Visualisation is the graphic representation of data. It enables complex information structures to be expressed creatively and understood quickly. Contemporary culture has seen a massive increase in the amount of data generated by social media, web sites like Amazon and other large cultural datasets. The challenge for designers, architects and artists is to translate this data into something that communicates a complex concept efficiently and creatively challenge the visual status quo to generate incisive cultural commentary.Through a process of practical studio exercises and workshops students will explore how data can be used to generate unique interactive visualisations. Students will be exposed to key processes of data management, including organising, cleaning and preparing data for visualisation. Students are encouraged to explore these processes to create dynamic, unique and creative interactive visualisations. In-depth studies of the contemporary leaders in art, design and architecture who use these processes to generate data visualisations will critically contextualise the social and economic significance of the field.","CDS2521 or with permission from Unit Coordinator, OHS1000",
CDS2524,Unconventional publishing,ada," Unconventional Publishing is a unit for those wishing to explore new models of physical publishing involving designer-generated content. Various methods and rationales - both creative and pragmatic - for the instigation of self-initiated projects will be investigated. The unit explores the possibility of communication design as an autonomous creative practice.The definition of publishing has expanded to include such diverse practices as websites, books, phone-based media, magazines, public posters, etc. In particular, small publishers have become more numerous and specialised, while traditional mass-market publishing is undergoing a slow decline. There are many examples of such small publishers being led by designers.Merging the traditionally separate roles of content-generator, editor, designer, publisher, printer and distributor reflects contemporary trends in communication design and provides a holistic overview of publishing as discipline. The unit approaches this breadth of publishing as a contiguous practice that can be overseen by an individual or small group and therefore encourages the development of projects outside of the traditional client/designer relationship.","CDS1002 or with permission, OHS1000",
CDS2531,Illustration for animation,ada," Illustration for Animation explores the role of illustration and related image-making within the animation industry. Students will be exposed to the processes and techniques illustrators use in the production of animatics, the process of turning written narrative into a sequential visual format. Students will become competent in the creation of storyboards, and understand the principles of editing and composition in the construction of an animated narrative.In this unit students will become familiar with the union of image transition, dialogue, sound effects, music, dissolves, zooms, pans and other production processes used in the construction of animatics. They will also explore character design as a core component of animated story-telling, and how that character is adapted in order to create convincing action, dialogue and emotional expression.Students will be exposed to the work of leading exponents of the practice, both contemporary and historic, and be able to critically analyse the processes used this work.","CDS1001, CDS1002 or by permission, OHS1000",VCO2205
CDS3001,Communication Design Studio 3A,ada," Communication Design Studio 3A will advance to a high level the practical, technical and conceptual skills developed in preceding studios. Having been exposed to a broad range of creative communication processes in the prerequisite units, students will be required to identify an area of specialisation in which to participate in CDS3001. Specialisation areas will be identified upon enrolment into the unit and may include (but will not be limited to) publication design, typography, image, brand, animation, sound and motion, interactivity and others areas that develop as the communication design field continues to broaden.Within their area of specialisation students will explore the breadth of communication possibilities through a carefully composed program of studio-based projects relevant to their chosen area. These projects, though different in each specialisation, will be comparable in assessment tasks and learning outcomes. Within each studio, students will develop their skills in both the technology and conceptual thinking required of their specialisation to a high level of competency.Students will be encouraged to approach this unit with the utmost care in their selection of specialisation. General exposure to the areas of specialisation will have occurred throughout the preceding units, but counselling from the unit's chief examiner and the course coordinator will be made available to assist students' selection of their particular area of study.The projects undertaken in CDS3001 will contribute towards a body of work intended to demonstrate the student's refined level of competence within the communication design field, and assist them to either progress into further study or gain appropriate employment in the communication design arena.","CDS2001, OHS1000","VCO3005, MMD3305, MMD3307, VCO3006, MMD3306, MMD3308"
CDS3002,Communication Design Studio 3B,ada," Communication Design Studio 3B will advance to a high level the practical, technical and conceptual skills developed in preceding studios. Having been exposed to a broad range of creative communication processes in the prerequisite units, students will be required to identify an area of specialisation in which to participate in CDS3002. Students may choose to continue the same area as that selected in CDS3001 to hone their specialist skills, or opt for a different area in order to broaden their expertise. Specialisation areas will be identified upon enrolment into the unit and may include (but will not be limited to) publication design, typography, image, brand, animation, sound and motion, interactivity and others areas that develop as the communication design field continues to broaden.Within their area of specialisation students will explore the breadth of communication possibilities through a carefully composed program of studio-based projects relevant to their chosen area. These projects, though different in each specialisation, will be comparable in assessment tasks and learning outcomes. Within each studio, students will develop their skills in both the technology and conceptual thinking required of their specialisation to high level of competency.Students will be encouraged to approach this unit with the utmost care in their selection of specialisation. General exposure to the areas of specialisation will have occurred throughout the preceding units, but counselling from the unit chief examiner and course coordinator will be made available to assist students' selection of their particular area of study.The projects undertaken in CDS3002 will contribute towards a body of work intended to demonstrate the student's refined level of competence within the communication design field, and assist them to either progress into further study or gain appropriate employment in the communication design arena.","CDS2001 and successful completion of at least 84 credit points in the Bachelor of Communication Design, OHS1000","VCO3005, MMD3305, MMD3307, VCO3006, MMD3306, MMD3308"
CDS4001,Major project communication design part 1,ada," This unit is part one a major communication design project. It provides anopportunity to research issues, undertake conceptual design and developrefinements on the basis of the advanced attainment achieved at the end ofthe Bachelor of Communication Design course. In most instances theproject is proposed by the student at the beginning of the semester inconsultation with the lecturer, and approved by the lecturer and coursecoordinator. This allows the address of issues of capability or knowledge, orthe development of specialist understanding or skills to be built into thestudent's program.",,VCO4107 or MMD4107
CDS4002,Major project communication design part 2,ada,"This unit is part two of the major project sequence for the honours course, and students are expected to continue with the research initiated in CDS4001, and develop a time frame which details the final visual presentation in consultation with a supervisor and the course coordinator. The project must have appropriate aspects to serve as a vehicle to demonstrate the student's professional understanding and capabilities, as well as appropriate complexity to enable the student to professionally undertake and present it within the time and resource limitations of the unit. All documentation must be completed to a professional standard.",Must be enrolled in: F3702 Bachelor of Communication Design (Honours),VCO4108 and MMD4108
CEM6881,Scanning electron microscopy,eng,"The scanning electron microscope (SEM) is an instrument that provides the unique ability to characterise the surface of materials at micrometre and nanometre scales. This course is designed to offer both theoretical and practical training in operating a SEM, for those who need the technique for their research. The emphasis is to arm students with the skills necessary to both effectively operate the instrument AND make meaningful conclusions regarding the results generated."," This course is only available to those students whose research project requires training for independent operation of the scanning electron microscope (SEM) within the Monash Centre for Electron Microscopy (MCEM). This requirement will be determined by MCEM staff during a new user interview, which also must be attended with their research supervisor(s) before enrolment. Students should refer to the access section of the MCEM website to arrange a new user interviewStudents must also attend a MCEM new user induction and sign the MCEM Safety Induction Checklist and User Agreement.",
CEM6882,Transmission electron microscopy,eng,"The transmission electron microscope (TEM) provides the unique ability to characterise materials at the nanometre and atomic length scales. This course is designed to offer both theoretical and practical training in operating a TEM, for those who need the technique for their research. The emphasis is to arm students with the skills necessary to both effectively operate the instrument and make meaningful conclusions regarding the results generated."," This course is only available to those students whose research project requires training for independent operation of the transmission electron microscope (TEM) within the Monash Centre for Electron Microscopy (MCEM). This requirement will be determined by MCEM staff during a new user interview, which also must be attended with their research supervisor(s) before enrolment. Students should refer to the access section of the MCEM website to arrange a new user interview.Students must also attend a MCEM new user induction and sign the MCEM Safety Induction Checklist and User Agreement.",
CER1111,Ceramic practice and theory 1A,ada,"This unit introduces students to the practice and theory of ceramics as a means of contemporary creative expression. It focuses on raising awareness of and providing the means to achieve an initial level of competence within the ceramics discipline, while imparting a sound conceptual and technical basis for continuing study in that discipline. The safe handling of materials and equipment is emphasized as an essential part of all studio practice.",Admission to an Art & Design course or permission,"APA1101, or APA111, or APA1122, or APA1202, or APA1212, or APA1213"
CER1112,Ceramic practice and theory 2A,ada,"This unit gives students the opportunity to further develop the ideas concepts, materials and processes begun in the corresponding Ceramics 1A unit. Students will begin to establish an individual and self directed practice within the broad parameters of the ceramics discipline. Methods and materials specific to the ceramics studio discipline will be demonstrated and practiced. Students will be encouraged to develop appropriate links between these methods and other means of creative self-expression. Set projects will require students to develop technical skills hand in hand with their understanding of concepts of current relevance.",Admission to an Art & Design course or permission,"APA1102, or APA1112, or APA1214"
CER2113,Ceramic practice and theory 3A,ada,"The Ceramics 3A unit provides a rigorous program to broaden students' awareness of concepts and techniques across a range of approaches, and encourages them to seek appropriate solutions. Continued research and investigation of materials and processes fosters the acquisition of technical language, and influences appropriate choices to realize concepts within the context of a developing personal visual language. Set projects still occur but the emphasis is on self-motivated approaches. Teaching methods therefore tend to concentrate on individual tuition and group critique. Emphasis is placed on students' continued capacity to critically assess their own work as well as that of their peers.",Either CER1111 or CER1112 or VIS1101 or VIS1112 or APA1101 or APA1102 or APA1112 or APA1122 or APA1211 or APA1212 or APA1213,APA2103 or APA2211 or APA2202
CER2114,Ceramic practice and theory 4A,ada,"In each Ceramics 4A unit students become increasingly responsible for the delivery of their major study program, with emphasis placed on independent investigation, and the development of the creative and expressive potential inherent in students'  work. This, combined with staff consultation, starts to determine students' focuses for future ceramics studio work. The emphasis shifts away from set projects towards self-motivated practice and research through which students articulate their conceptual and expressive strengths. Studio practice is still exploratory but with better grasp of theoretical issues relevant to students' practices.",Either CER1111 or CER1112 or VIS1111 or VIS1112 or APA1111 or APA1112,"APA2104,APA2212"
CER2123,Ceramic practice and theory 3B,ada,"This Ceramics 3B unit extends the rigorous program to broaden students' awareness of concepts and techniques across a range of approaches, and further encourage them to seek appropriate solutions. Continued research and investigation of materials and processes fosters the acquisition of technical language, and influences appropriate choices to realise concepts within the context of a developing personal visual language. The emphasis is more on self-motivated approaches than on set projects. Teaching methods therefore tend to concentrate on individual tuition and group critique. This unit continues to focus on the nexus between art making and the cultural and social contexts of art.",OHS1000 and either CER1131 or CER1142 or VIS1112 or APA1112,APA2103
CER2124,Ceramic practice and theory 4B,ada,"In each Ceramics 4B unit students become more responsible for the delivery of their major study program, with emphasis placed on increasingly independent investigation, and the further development of the creative and expressive potential inherent in students' work.  This, combined with staff consultation, continues to determine students' focuses for future ceramics studio work. Self-motivated practice and research through which students articulate their conceptual and expressive strengths is increasingly utilised. Studio practice is less exploratory and with better grasp of theoretical issues relevant to students' practices.",OHS1000 and CER2123,APA2104
CER3115,Ceramic practice and theory 5,ada,"This level 3 ceramics unit finely hones the skills acquired over the previous two years. At this stage of the course, students should demonstrate a high level of technical competence, facilitating work in their chosen field. Imagination combined with advanced conceptual lucidity, a prowess and innovation in material manipulation should be manifest at this stage of students' practice. Students develop an individual program in conjunction with the lecturer that reflects their personal direction and evolving ceramics practice. The program focuses on clear articulation of concepts.",Either CER2113 or CER2114 or APA2104,APA3105
CER3116,Ceramic practice and theory 6,ada,"This unit is the culmination of the ceramics undergraduate program, and provides a stimulating and supportive environment. Students continue to work autonomously within an individually approved program of study as lecturers encourage the self-motivation, self-appraisal and professional responsibility required of the practising artist. A coordinator supervises the program and gives guidance as it is required and at the request of the students. Students continue to critically appraise their work and consolidate all conceptual, aesthetic and technical issues that relate to the individual direction of their ceramics work.",Either CER3115 or APA3105,APA3106
CHE2161,Mechanics of fluids,eng," This unit develops the students' physical understanding of fluid statics and fluid flow and the interaction of fluid forces with solids.Topics include hydrostatics, Reynolds transport theorem, continuity and momentum equations, control volume analysis, the Bernoulli equation, viscous pipe flow, pumps, dimensional analysis, boundary layers, flow measurement techniques and applications of fluid forces in flow - lift and drag.",24 credit points,"MAE2404, MEC2404"
CHE2162,Material and energy balances,eng,"This unit will introduce students to the fundamentals of material and energy balances through a systematic treatment of:  single and multiple unit operations, reactive and non-reactive processes, recycle and by-pass, extent of reactions, equations of state, vapour-liquid phase equilibrium, solid-liquid phase equilibrium, internal energy and enthalpy changes for process fluids undergoing specified changes in temperature, pressure, phase, reactions and chemical compositions and computer aided simulation of process flow diagrams. A process simulation software will be used to aid in the solution of more complex systems.",,"CHE2113, CHE2140"
CHE2163,Heat and mass transfer,eng,"Introduce fundamentals and applications of heat and mass transfer. Develop an understanding of the mechanisms and mathematical representation of conduction, convection and radiation heat transfer and convective mass transfer. Gain an appreciation for the analogies between heat and mass transfer using dimensional analysis. Understand and apply concepts of local and overall heat and mass transfer coefficients including boiling heat transfer to simple problems. Calculation of overall heat transfer coefficient and heat transfer area using Log Mean Temperature Difference (LMTD) and Number of Transfer Unit (NTU) method. Gain an understanding of molecular diffusion in gases, solids, and liquids and develop methods to use these concepts in problem solving. Perform experiments to illustrate the concepts of heat and mass transfer.",,
CHE2164,Thermodynamics I,eng,"Introduce fundamentals and applications of classical thermodynamics. Understand the concepts of heat, work, energy, and entropy, the First and Second Laws of Thermodynamics and their application. Introduction to the Carnot cycle and the concept of irreversibility. Understand the use of property diagrams in solving heat engine and heat pump cycles. Understand the operation and analysis of the Brayton, Otto, Diesel and Rankine cycles. Introduction to the analysis of refrigeration and heat pump cycles. Perform experiments to illustrate the concepts of Thermodynamics. Simple combustion processes. Renewable energy and its use in heating and electricity generation and environmental benefits.",,
CHE2166,Introduction to process simulation,eng,"This unit will introduce the role and use of simulation tools in process design and develop knowledge of process simulation methods and approaches that can be used in a variety of chemical engineering design problems in a wide range of industries. The unit will also introduce concepts associated to utility systems, electricity generation and principles of sustainability including environmental, economic and social impact. The students will develop knowledge and skills through open-ended projects.",ENG1002,none
CHE2167,Process material selection,eng," This unit introduces the basic concepts of materials properties and their selection for use in both the natural environment where they will be installed and the operating and process environment.The underlying philosophy of this unit will be used to compare different material selection options. The unit will include a fundamental understanding of static stress loading. It will include material degradation processes which may limit material life such as corrosion, embrittlement processes and oxidation processes. Through open-ended problems students will develop technical knowledge and professional skills.",None,None
CHE2871,Biochemistry for engineers,eng,"This unit focuses on the study of living cells and biological molecules with a emphasis on their applications in chemical and pharmaceutical industries.  Topics to be covered include cell biology and structure, fundamental biochemistry of proteins and enzymes, metabolic pathways and biosynthesis of metabolites, molecular biology including central dogma, genetic code, protein synthesis and practical examples of industrial applications.",,"BTH2741, BCH2011"
CHE3161,Chemistry and chemical thermodynamics,eng,"This unit covers thermodynamics from a chemical engineering viewpoint. Content will cover basic concepts and the use of: thermodynamic functions such as free energy, enthalpy, and entropy; estimation of properties of pure compounds and mixtures; description of solution thermodynamics and its applications, equilibrium phase diagrams and chemical reaction equilibria.",CHE2164,
CHE3162,Process control,eng,"This unit provides a thorough introduction to process control and simulation. The unit begins with understanding disturbances, why disturbances need to be controlled and possible responses of various systems to a disturbance. The selection of which variables to control, which variables to manipulate and approaches to interactions are covered, together with the most important types of control loops and computer control systems. Topics include common control scenarios - feed back, feed forward, and cascade systems; ratio control; tuning of PID controllers; single loop and multiple loop systems;  interactions and decoupling; process simulation and advanced process control.",ENG2091 or (MTH2010 and MTH2032) or ENG2005,"CHE3107, CHE4110"
CHE3163,Sustainable processing I,eng,"This unit will explore cleaner production and sustainability concepts, the principles of process design and development and associated flow sheets, systematic approaches to waste minimisation in process and utility systems, the methodology of life cycle assessment and application of life cycle assessment to processes and products. These themes will be developed in lectures and supported by student project work related to selected industrial processes.",CHE2162,
CHE3164,Reaction engineering,eng,"This unit aims to develop a fundamental understanding of chemical reaction kinetics and reactor design, including: fundamentals of design of ideal reactors rate laws, collection and analysis of rate data, stoichiometry isothermal reactor design multiple reactions, reaction mechanisms and pathways an introduction to bio-reaction engineering non-isothermal reactor design catalysis and catalytic reactors.","CHE2163, CHE2164","CHE3101, CHE4102"
CHE3165,Separation processes,eng,"A comprehensive treatment of the fundamentals of separation processes of interest to the chemical industry is covered. The fundamental principles of mass transfer are introduced and extended to include principles of interfacial mass transfer and simultaneous heat and mass transfer. General mass and energy balances are derived for equilibrium staged processes. The applications of these principles are made to the unit operations of distillation (binary and multi-component), liquid-liquid extraction, gas-liquid absorption and stripping, adsorption and ion-exchange, and membrane separation processes.","CHE2162, CHE2163",CHE3102
CHE3166,Process design,eng,"This unit will develop four important inter-related themes associated with the detailed design of chemical equipment and processes. These themes are process safety, mechanical integrity, equipment selection, and process operability (including piping and instrumentation). These themes will be developed using a mixture of lectures and project-orientated learning activities, which will involve computer simulation and at least one plant visit.","CHE2163, CHE2164",CHE3109
CHE3167,Transport phenomena and numerical methods,eng,"Fundamental principles of transport phenomena, Newton's law of viscosity, Fourier's law of heat conduction and Fick's law of diffusion.  Transfer coefficients (viscosity, thermal conductivity and diffusivity).  Newtonian and Non-Newtonian fluids, conservation laws (mass, momentum and energy) and steady state shell mass, momentum and energy balances.  Numerical solution of partial differential equations, classification of equations (finite differences and finite elements) and incorporation of boundary conditions into numerical solutions.  Utilise computer packages to solve complex, realistic chemical engineering problems in fluid flow and transport phenomena.","CHE2161, ENG1060 and [ENG2091 or (MTH2010 and MTH2032) or (MTH2015 and MTH2032) or ENG2005]",CHE4163
CHE3171,Bioprocess technology,eng,"This unit explores how scalable, commercially viable process-unit operations are harnessed by the biotechnology industry for the production of valuable biomolecules (eg recombinant proteins, peptides, vaccines, enzymes, and nucleic acids). The design, operation and economic issues surrounding large-scale biomolecular process equipment including bioreactors, filtration systems, chromatographic columns, sterilisation and aseptic operation, auxiliary equipment and the associated control systems will be considered. The wider biotechnology environment will be considered especially with regards to GxP, national and international regulatory bodies, biosafety and commercialisation.",CHM1011 or CHM1051 or CHM1022 or CHM1052 or CHM2735 or PSC1021 or PSC1022,
CHE3172,Nanotechnology and materials 1,eng,"This unit introduces the foundation concepts of nanotechnology and nanofabrication, the basic physics of the solid state, the unique properties of nanomaterials; characterisation techniques of materials. This unit also covers polymer synthesis and characterisation, polymer nanocrystals, functional polymers such as conductive polymers and block copolymers, supramolecular structures, and amphiphilic systems and their applications in nanofabrication.",CHM1011 or CHM1051 or CHM1022 or CHM1052 or CHM2735 or PSC1021 or PSC1022.,
CHE4161,Engineer in society,eng,"An introduction to the role of engineers in the context of their employment in industry and their interaction with the wider community. Students will obtain an understanding of triple bottom line reporting as a driver for management, involving financial, environmental and the social impact of business. Financial management will include project management, project risk, market analysis, project costing and finance and financial indicators. Environmental management will look at the approval process for new projects and on-going environmental improvement strategies. Social management will look at company organisation, the role of unions, occupational health and safety law and safety management.",,"CHE4113, CHE4164"
CHE4162,Particle technology,eng,"This unit provides a thorough introduction to particle technology. The unit begins with understanding particle characterisation, the fluid mechanics of single and multi-particle systems and particulate fluidization. The physics underlying powder flow will be covered to enable introductory hopper design. Common powder processing operations will be studied, selected from powder mixing/segregation, sedimentation, dewatering and size enlargement.",CHE2161,CHE3104
CHE4164,Integrated industrial project,eng,"This unit offers students the opportunity to work in-depth on a significant project, gain first-hand experience of professional practice in industry, applying skills and knowledge gained to date to a real life situation and study new topics in an industrial context. Projects are set up by the industrial partner and academic supervisor, and include tackling open-ended industrial problems, project management, process safety and process economics. A limited number of places are offered each year, and students are selected by the department on the basis of academic merit and leadership potential approximately 6 months in advance.",CHE3161 and CHE3162 and CHE3163 and CHE3164 and CHE3165 and CHE3166 and (CHE3167 or CHE4163),"CHE4161, CHE4180"
CHE4170,Design project,eng,"Students work in teams on the design and evaluation of a process plant for a specified duty. This is a capstone design unit drawing together the skills and knowledge previously developed in the areas of detailed design of chemical equipment and processes, process safety, mechanical integrity, equipment selection, process operability (including piping and instrumentation), environmental impact and economic evaluation.","CHE2161, CHE2162, CHE2163, CHE2164, (CHE3163 or ENE3608), CHE3165, CHE3166, and (CHE4161 or CHE4164).",
CHE4171,Biochemical engineering,eng,"Quantitative and analytical skills required for biochemical and bioprocess engineering will be covered. The relationships between chemical engineering principles and approaches and biology will be explored. Knowledge about the operational considerations for suspended cultures, immobilized cultures, bioreactors, scaling, process selection, and operation of bioprocess unit operations will be discussed and worked on through calculations.",CHE3171 and (CHM1011 or CHM1022 or CHM1051 or CHM2735 or PSC1021 or PSC1022),
CHE4172,Nanotechnology and materials 2,eng,"Understanding of synthetic methods, properties and applications of nanomaterials, including zero-dimensional nanoparticles, one-dimensional nanostructures (nanotubes, nanorods, nanowires and nanofibres), two-dimensional thin films, nanoporous materials and nanofabrication techniques such as lithography and self-assembly. Emphasis on advanced nanomaterials and the importance of nanostructured materials used in various chemical engineering applications. Examples of bionanotechnology-inspired nanostructures using biological building blocks in self-assembling processes.",MTE2541 or MSC2011 or CHE3172,
CHE4173,Sustainable processing 2,eng,"This unit will explore heat integration, water integration and recycling of process streams to achieve improved resource efficiencies and waste reduction, the identification and minimisation of waste in reactors and separation processes, natural cycles, pollution mechanisms and effects, strategies for improved industrial ecology and the role of regulatory and economic drivers in cleaner production. These themes will be developed in lectures and be supported by student project work related to selected industrial processes.","CHE3163, CHE3166","CHE4112, CHE4152"
CHE4180,Chemical engineering project,eng,"Development and conduct of a specific research or other open-ended project, which may involve literature search, experimental design, equipment design, equipment commissioning, experimentation, troubleshooting, problem solving, data gathering, analysis and interpretation of data, oral and written reporting.","A minimum of 120 credit points including CHE2161, CHE2162, CHE2163 and CHE2164","CHE4118, CHE4164"
CHE5167,Pulp and paper laboratory,eng,"Wood analysis and preparation. Chemical and mechanical pulping. Beating, sheet-making and testing. Bleaching. Fibre microscopy. Performance assessment of paper products. Wet end chemistry. Other processing techniques.",,
CHE5290,Biomass resource and its utilisation,eng,"This unit equips students to evaluate the availability of biomass for specific biorefinery or pulp and paper projects and the potential impact of the political and social climate. It will study available forest and other biomass resources and their harvesting, state and federal legislation regarding their use and social attitudes towards the utilization of biomass. This unit will also study the structure and chemistry of relevant biomass raw materials and the current and past structure of the biorefining and pulp and paper industries, and will provide a brief overview of biorefining and pulp and paper processes.",,
CHE5291,Engineering aspects of biomass pulping,eng,"This unit will equip students with the ability to evaluate new developments in pulping and bleaching from an engineering perspective, to analyse the performance of current operations and to determine the cause of process malfunctions. To achieve these aims, this unit will examine the chemical engineering aspects of mechanical, chemical and other pulping processes; the various mechanical pulping processes (groundwood, RMP and TMP); the traditional kraft pulping process, the equipment, instruments and process models for this process and process control; modern variants of the kraft pulping process; the kraft recovery process; NSSC pulping; chemi-mechanical pulping processes; other minor pulping processes. Bleaching processes include: traditional bleaching, elemental chlorine free processes i.e. chlorine dioxide bleaching and total chlorine free processes including oxygen, hydrogen peroxide and ozone bleaching. Processes for brightening mechanical pulps will be included.",,
CHE5292,Chemistry of biomass processing,eng,"This unit will equip students with the ability to evaluate new developments in biorefining, and pulping and bleaching from an chemistry perspective, and to analyse the chemistry of current operations. This will require the development of detailed knowledge and understanding of the chemistry of cellulose, of the various lignins and hemicelluloses and of wood extractives. This unit will examine the detailed chemistry of the various chemical pulping, bleaching and recovery processes, of the production of byproducts from pulping and bleaching operations, of the production of energy from biomass and the production of specialty chemicals and materials from biomass. It will also study the detailed chemistry of the interaction between fibres and 'wet-end' chemicals in an aqueous environment.",,
CHE5293,Processing fibres into paper,eng,"This unit will equip students with the ability to evaluate new developments in papermaking, to analyse the performance of current operations, to determine the cause of process malfunctions in papermaking operations and to conduct efficient trials with a view to improving current operations. It will investigate the engineering and science of unit operations involved in the production of paper from fibres; refining of chemical pulps; the paper machine approach systems; headbox design and performance; dewatering and network formation in the forming section; wet-end additives and wet-end systems; water removal and web modification in the press and dryer sections; property enhancement by calendering and by the addition of material at the size press and coater; and winding and finishing operations. It will examine the equipment used for each operation, the functioning of this equipment and the impact of each operation on the properties of the paper or board being produced.",,
CHE5294,Performance of paper products,eng,"This unit will equip students with the ability to evaluate new developments in our understanding of the properties of paper, to identify and analyse opportunities for the enhancement of paper properties or the production of new grades of paper, to understand the influence of raw materials, process conditions and assessment procedures on the measured properties of paper so that the causes of loss of properties can be determined, and to evaluate the reasons for customer dissatisfaction with the performance of specific deliveries of paper. This will require knowledge of the various categories of paper and their performance requirements, a detailed understanding of the dimensional, mechanical, optical and surface properties of paper and the influence of raw materials and process conditions on these properties, and an understanding of the relationship between the properties of paper which can be determined in the laboratory and the paper's conversion and end-use performance. It will also require detailed knowledge of the effect of relative humidity on the moisture content of paper and of moisture content on the properties of the paper, and an understanding of the consolidation of the paper web during the forming process.",,
CHE5295,Control of processes and quality,eng,"This unit will equip students with the ability to evaluate the influence of process control equipment on biorefinery and pulp and paper processes, to identify requirements for improved performance from control equipment and mill wide systems, to analyse the value of new developments in process control, to evaluate energy and water management systems and their current performance, to critically assess quality control systems being used and to make recommendations for improvement and to design and analyse process trials. We will examine the fundamentals and practical aspects of process control in biomass conversion processes, digital automation systems, millwide control, statistical control, predictive systems and specific equipment and systems used in biorefineries and pulp and paper mills. We will study the evaluation of energy and water utilization and systems for their management , the fundamentals of statistics and their application to process evaluation and trials, and the various aspects of quality control in papermaking.",,
